date,cases,deaths,recovered,active
2020-03-03,1,0,0,1
2020-03-04,6,0,0,6
2020-03-05,9,0,0,9
2020-03-06,16,0,0,16
2020-03-07,23,0,0,23
2020-03-08,44,0,0,44
2020-03-09,101,0,0,101
2020-03-10,171,0,0,171
2020-03-11,326,1,0,325
2020-03-12,684,2,0,682
2020-03-13,1306,2,0,1304
2020-03-14,1951,4,590,1357
2020-03-15,2982,10,777,2195
2020-03-16,5090,19,1080,3991
2020-03-17,7483,26,1421,6036
2020-03-18,10416,47,1864,8505
2020-03-19,14076,72,2401,11603
2020-03-20,18035,118,3034,14883
2020-03-21,20629,158,3702,16769
2020-03-22,23175,206,4409,18560
2020-03-23,26660,287,5426,20947
2020-03-24,31032,379,6555,24098
2020-03-25,35742,499,7819,27424
2020-03-26,40618,684,9189,30745
2020-03-27,45584,889,10532,34163
2020-03-28,48943,1145,11790,36008
2020-03-29,52369,1419,13147,37803
2020-03-30,58355,1719,14778,41858
2020-03-31,63500,2075,16249,45176
2020-04-01,68403,2476,17691,48236
2020-04-02,73944,2909,19312,51723
2020-04-03,79348,3350,20943,55055
2020-04-04,83030,3796,22308,56926
2020-04-05,86602,4300,23656,58646
2020-04-06,92757,4810,25278,62669
2020-04-07,98578,5339,26664,66575
2020-04-08,103915,5798,27989,70128
2020-04-09,108720,6229,29040,73451
2020-04-10,112890,6641,30001,76248
2020-04-11,116294,7034,30750,78510
2020-04-12,118823,7436,31464,79923
2020-04-13,121608,7821,32268,81519
2020-04-14,124885,8132,32931,83822
2020-04-15,127630,8393,33471,85766
2020-04-16,129203,8589,33689,86925
2020-04-17,129763,8683,33718,87362
2020-04-18,129786,8706,33718,87362
